Strain	accession	gene	original_header	seq_type	tax	vsearch_hash	len
EnvTARA008	KU377861	petB	Uncultured Synechococcus sp. clone EnvTARA008 cytochrome b6 (petB) gene, partial cds	petB_Syn_CRD1|CRD1C	MIC	cc71daf064360e95764b587fe7caf72e	596
EnvTARA010	KU377860	petB	Uncultured Synechococcus sp. clone EnvTARA010 cytochrome b6 (petB) gene, partial cds	petB_Syn_CRD1|CRD1C	MIC	4e28b494ee4137a1e54b737346248e9d	629
EnvTARA011	KU377859	petB	Uncultured Synechococcus sp. clone EnvTARA011 cytochrome b6 (petB) gene, partial cds	petB_Syn_CRD1|CRD1C	MIC	550168033432e95f84bb1adf9fbc7d8f	637
EnvTARA012	KU377858	petB	Uncultured Synechococcus sp. clone EnvTARA012 cytochrome b6 (petB) gene, partial cds	petB_Syn_CRD1|CRD1C	MIC	443c152343598f786c846fd3b3eca4ac	647
EnvTARA015	KU377857	petB	Uncultured Synechococcus sp. clone EnvTARA015 cytochrome b6 (petB) gene, partial cds	petB_Syn_EnvB|EnvBC	MIC	2c9c01ec2d6961b94b88425c908cdf4d	601
EnvTARA035	KU377856	petB	Uncultured Synechococcus sp. clone EnvTARA035 cytochrome b6 (petB) gene, partial cds	petB_Syn_CRD1|CRD1C	MIC	063bc0e81735137931d61fd48215f03f	584
EnvTARA037	KU377855	petB	Uncultured Synechococcus sp. clone EnvTARA037 cytochrome b6 (petB) gene, partial cds	petB_Syn_EnvB|EnvBC	MIC	3ad60411cec8132bc3f1baba976334ee	591
EnvTARA038	KU377854	petB	Uncultured Synechococcus sp. clone EnvTARA038 cytochrome b6 (petB) gene, partial cds	petB_Syn_EnvB|EnvBC	MIC	f79e57250ee88e1a0dc387da995188eb	578
EnvTARA039	KU377853	petB	Uncultured Synechococcus sp. clone EnvTARA039 cytochrome b6 (petB) gene, partial cds	petB_Syn_5_3|5.3B	MIC	0a33704f2401f42ebc03adb3dee2ffb8	574
EnvTARA041	KU377852	petB	Uncultured Synechococcus sp. clone EnvTARA041 cytochrome b6 (petB) gene, partial cds	petB_Syn_5_3|5.3D	MIC	b87c4926005c723b23eb26cb34486def	562
EnvTARA045	KU377851	petB	Uncultured Synechococcus sp. clone EnvTARA045 cytochrome b6 (petB) gene, partial cds	petB_Syn_5_3|5.3C	MIC	15c38380c2ac4fe0c477f5bfd94281df	568
EnvTARA047	KU377850	petB	Uncultured Synechococcus sp. clone EnvTARA047 cytochrome b6 (petB) gene, partial cds	petB_Syn_5_3|5.3D	MIC	498db5ead89e54e645031b76395a8a66	557
EnvTARA048	KU377849	petB	Uncultured Synechococcus sp. clone EnvTARA048 cytochrome b6 (petB) gene, partial cds	petB_Syn_WPC1|WPC1A	MIC	4f5d023890e735ea2c98de6e407b9ff6	562
EnvTARA049	KU377848	petB	Uncultured Synechococcus sp. clone EnvTARA049 cytochrome b6 (petB) gene, partial cds	petB_Syn_5_3|5.3C	MIC	b7caf53e5fdfb4e473b5fe49498e9878	557
Biosope-141-D	KU377847	petB	Synechococcus sp. Biosope-141-D cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	31b3958f0adfef528e50c8aca5950f7c	559
BOUM29-1	KU377846	petB	Synechococcus sp. BOUM29-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	acf496f1fcf876d071610215c5b60648	567
BOUM29-3	KU377845	petB	Synechococcus sp. BOUM29-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	859dc90fb22b544576cefc095c4e523c	567
BOUM31-10	KU377844	petB	Synechococcus sp. BOUM31-10 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	3cca7340c3114799777c2852bce80bbf	567
BOUM32-0	KU377843	petB	Synechococcus sp. BOUM32-0 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	62ade35befbd45e47b7e5f647bf3e0a7	567
BOUM33-22	KU377842	petB	Synechococcus sp. BOUM33-22 cytochrome b6 (petB) gene, partial cds	petB_Syn_XVI|XVIA	MIC	5d42c9433d6e3a46d1355e7c5106b952	567
BOUM68-1	KU377841	petB	Synechococcus sp. BOUM68-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	d10284040ca04dae4006bfcf9416b4bf	567
BOUM69-2	KU377840	petB	Synechococcus sp. BOUM69-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	1d02251ff2762f5d5500835923e1f0e5	567
BOUM70-7	KU377839	petB	Synechococcus sp. BOUM70-7 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	f24e00d5023b113c97de8fe28d56b4cc	567
BOUM72-1	KU377838	petB	Synechococcus sp. BOUM72-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	cbb75b9ee77f7359d326274e62aa50c5	567
BOUM78-1	KU377837	petB	Synechococcus sp. BOUM78-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	de046b5f50df974a7924b65e90fe15dd	567
BOUM78-7	KU377836	petB	Synechococcus sp. BOUM78-7 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	bfc2d4ab350528e195fe710fca3e470e	567
BOUM79-2	KU377835	petB	Synechococcus sp. BOUM79-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	6a8124cd4124be552d2d98a6cef4b884	567
BOUM80-11	KU377834	petB	Synechococcus sp. BOUM80-11 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	c90db88cd9637d426264771c68b0e5c9	567
BOUM81-1	KU377833	petB	Synechococcus sp. BOUM81-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_VI|VIA	MIC	265b7b376f32048b8af1c7d6fca75b63	567
BOUM81-5	KU377832	petB	Synechococcus sp. BOUM81-5 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	a6266cdcf35614894181f7b62cf90f44	567
BOUM83-3	KU377831	petB	Synechococcus sp. BOUM83-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	5000a623b5e8d0c24ac7e7b0a89cb629	567
BOUM84-1	KU377830	petB	Synechococcus sp. BOUM84-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIB	MIC	a5b85d7e1e5c52ee22b6526151e39832	567
BOUM84-5	KU377829	petB	Synechococcus sp. BOUM84-5 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	4fbcef531f8b90611b7d99c9fb17ec6b	567
BOUM84-12	KU377828	petB	Synechococcus sp. BOUM84-12 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	4a6c5211e9584082f0cae749365104d6	567
BOUM85-0	KU377827	petB	Synechococcus sp. BOUM85-0 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	51193e10001e2f0fd088b2fe5cf4a2cd	567
BOUM87-4	KU377826	petB	Synechococcus sp. BOUM87-4 cytochrome b6 (petB) gene, partial cds	petB_Syn_VI|VIA	MIC	158f500b95d79e7591bc5bcc5351e14a	567
BOUM90-3	KU377825	petB	Synechococcus sp. BOUM90-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	49d644b24ce68e4d3d0a56fa7fe87012	567
BOUM91-1	KU377824	petB	Synechococcus sp. BOUM91-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	e3bb75ea0f851abe5b5d36bc53f373c1	567
BOUM91-3	KU377823	petB	Synechococcus sp. BOUM91-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	85d01b920e8ba341baef97b50345e582	567
BOUM91-4	KU377822	petB	Synechococcus sp. BOUM91-4 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	e052ce3ced929c0809924a80930c7b32	567
BOUM93-0	KU377821	petB	Synechococcus sp. BOUM93-0 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	8103120bb40f361dc30650c67bd612f2	567
BOUM102-1	KU377820	petB	Synechococcus sp. BOUM102-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_VI|VIA	MIC	d96e48493cd931646ebf49563b2d0452	567
BOUM104-4	KU377819	petB	Synechococcus sp. BOUM104-4 cytochrome b6 (petB) gene, partial cds	petB_Syn_VI|VIA	MIC	84ea540daad53b165f084fcfd33c73b5	567
BOUM104-5	KU377818	petB	Synechococcus sp. BOUM104-5 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	ac19fea874dca16206e6fecdbf09bb53	567
BOUM107-14	KU377817	petB	Synechococcus sp. BOUM107-14 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	53fa3b2e724a3e8384e8d478cec880b8	567
BOUM107-16	KU377816	petB	Synechococcus sp. BOUM107-16 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	fed1a7b51d73dfc840846cb73071b147	567
BOUM109-2	KU377815	petB	Synechococcus sp. BOUM109-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	0e7c1ac04661918d22045ae5edfce10b	567
BOUM112-1	KU377814	petB	Synechococcus sp. BOUM112-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	937ee73d4269d5e07286dc1f4295cdb2	567
BOUM113-3	KU377813	petB	Synechococcus sp. BOUM113-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	1af068ec6091746993b705be8520a6e9	567
CARBOM-02-Syn-04	KU377812	petB	Synechococcus sp. CARBOM-02-Syn-04 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	ce075f55adcb0db870e273d82a348aed	574
MICROVIR-1CH-2	KU377811	petB	Synechococcus sp. MICROVIR-1CH-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	597c1e5648d0698eaabee6b0ad6722fc	567
MICROVIR-1CH-4-2	KU377810	petB	Synechococcus sp. MICROVIR-1CH-4-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	1901300a7426d7cb5ae2826d2dc440b7	567
MICROVIR-2CR-4-3	KU377809	petB	Synechococcus sp. MICROVIR-2CR-4-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	90bba7ad637414891232eae53325c459	579
MICROVIR-2CR-4-5	KU377808	petB	Synechococcus sp. MICROVIR-2CR-4-5 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	fcc85c2d182e714324edd677f69b0dec	579
MICROVIR-2K-2	KU377807	petB	Synechococcus sp. MICROVIR-2K-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	d5234b03bed3c90c15c7591bcb1fc0f0	579
MICROVIR-3CH-0	KU377806	petB	Synechococcus sp. MICROVIR-3CH-0 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	6e82bcad0d84bca67590d9a1e6507c4c	579
MICROVIR-3CR-1	KU377805	petB	Synechococcus sp. MICROVIR-3CR-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	f243c0274d2b90513ea072f368230aa3	579
MICROVIR-5CR-4-3	KU377804	petB	Synechococcus sp. MICROVIR-5CR-4-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	b559a6b4bf960aed74e3941922ee13a0	579
MICROVIR-6CH-1	KU377803	petB	Synechococcus sp. MICROVIR-6CH-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	216853e6bcdffc65ad0674570b1d0c52	567
MICROVIR-7CR-3	KU377802	petB	Synechococcus sp. MICROVIR-7CR-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	b459ffd4d1999929a41f8b7ecf6f611e	579
MICROVIR-7CR-4-6	KU377801	petB	Synechococcus sp. MICROVIR-7CR-4-6 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	4658ca4071418e90af47b0e7c242ed46	579
MICROVIR-8CR-4-1	KU377800	petB	Synechococcus sp. MICROVIR-8CR-4-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	b23284d55f6024de2346d0ca92631bef	579
MICROVIR-8CR-4-5	KU377799	petB	Synechococcus sp. MICROVIR-8CR-4-5 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	a9976dd3ec0002091fe4acb6c0f15418	579
MICROVIR-9CH-1	KU377798	petB	Synechococcus sp. MICROVIR-9CH-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	5474f85d68d91cc5ddbe12952879d138	579
MICROVIR-9K-2	KU377797	petB	Synechococcus sp. MICROVIR-9K-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	9bf9584fd0f886d39054d9d635935954	579
MICROVIR-11CR-4-2	KU377796	petB	Synechococcus sp. MICROVIR-11CR-4-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	9908bc6624bf982ff5a230069d1b5000	579
MICROVIR-12CH-4-1	KU377795	petB	Synechococcus sp. MICROVIR-12CH-4-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	478e8dbafffd18e2bbbd03f3595ce2c1	567
MICROVIR-12CR-4-3	KU377794	petB	Synechococcus sp. MICROVIR-12CR-4-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	70e411a5063f302e97191741b6648eb1	567
MICROVIR-13CR-4-1	KU377793	petB	Synechococcus sp. MICROVIR-13CR-4-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	ee14f0db78c84136ab1f2e10bb13748c	579
MICROVIR-14K-4-5	KU377792	petB	Synechococcus sp. MICROVIR-14K-4-5 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	623dfce38732189096d772ae2acb21a3	579
MICROVIR-15CR-3	KU377791	petB	Synechococcus sp. MICROVIR-15CR-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	a2c3c563748ec6134bbc7e38cf40c5bc	567
MICROVIR-16CR-4-4	KU377790	petB	Synechococcus sp. MICROVIR-16CR-4-4 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	c53f54d2e31aca4694901acded2152d1	567
MICROVIR-17CH-1	KU377789	petB	Synechococcus sp. MICROVIR-17CH-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	98df0bc95cca129720db88c7274ad7f0	567
MICROVIR-17K-4-6	KU377788	petB	Synechococcus sp. MICROVIR-17K-4-6 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	af33adf3df1f8dc080f60a75c21a3bdc	567
MICROVIR-18K-4-1	KU377787	petB	Synechococcus sp. MICROVIR-18K-4-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	7b811559962aec9513d6bee9c0eff055	579
MICROVIR-19CH-3	KU377786	petB	Synechococcus sp. MICROVIR-19CH-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	82fa8dc1b8601bfcd723d729f05275f5	579
MICROVIR-20CR-2	KU377785	petB	Synechococcus sp. MICROVIR-20CR-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	92930d6adac85f45b3c2f68b48ab7e04	567
A18-25b-55m	KU937830	petB	Synechococcus sp. A18-25b-55m cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	e5b383d3a08117e0e8c8245a68a37286	559
A18-25-surf	KU937829	petB	Synechococcus sp. A18-25-surf cytochrome b6 (petB) gene, partial cds	petB_Syn_WPC1|WPC1A	MIC	2236c0239578e473909b19657ad42de1	559
AMT12-A6	KU937828	petB	Synechococcus sp. AMT12-A6 cytochrome b6 (petB) gene, partial cds	petB_Syn_CRD1|CRD1A	MIC	8dda0bd54bfcf7777b1f58293ba819ff	579
AMT23ST01-5	KU937827	petB	Synechococcus sp. AMT23ST01-5 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	37d0e4518a6c9850a974219ebbe6a5ca	607
AMT23ST07-3	KU937826	petB	Synechococcus sp. AMT23ST07-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	9067decb4a136ea33cc25b809bf0976b	584
AMT23ST47-1	KU937825	petB	Synechococcus sp. AMT23ST47-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	0438088da177cd8764d13879608e8e09	589
AMT18070-D86	KU937824	petB	Synechococcus sp. AMT18070-D86 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIB	MIC	5699413d2ad73a25a55eca5f7de2151a	579
Ellet21	KU937823	petB	Synechococcus sp. Ellet21 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVC	MIC	fde5477baa5d89949131d4c357ea2e93	579
R1A	KU937822	petB	Synechococcus sp. R1A cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIB	MIC	d2b3bfd35084a08c75a031a7ec507994	559
R1B	KU937821	petB	Synechococcus sp. R1B cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	f32b5e5cc64721a114ad283dab715405	579
R5B	KU937820	petB	Synechococcus sp. R5B cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	8a0836f4a4f558601b9bef5617b7461e	579
R10B	KU937819	petB	Synechococcus sp. R10B cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	0517548414239d316d3d765775b3319f	559
R12	KU937818	petB	Synechococcus sp. R12 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	6d8e6c938128322acf8af88ffb05fd88	579
A18-46.1	KU670816	petB	Synechococcus sp. A18-46.1 cytochrome b6 (petB) gene, complete cds	petB_Syn_III|IIIA	MIC	53898b2b7163da048924e296d8abdfeb	663
A18-40	KU670815	petB	Synechococcus sp. A18-40 cytochrome b6 (petB) gene, complete cds	petB_Syn_III|IIIA	MIC	9ce8118535dc40461ff46190907a7dc9	663
A18-25c	KU670814	petB	Synechococcus sp. A18-25c cytochrome b6 (petB) gene, complete cds	petB_Syn_VII|VIIA	MIC	48eff592ef9e1d46dce9e29dde1db976	657
NV36	KU705460	petB	Uncultured Synechococcus sp. clone NV36 cytochrome b6 (petB) gene, partial cds	petB_Syn_CRD1|CRD1C	MIC	2daa58d86126831691cb4c8a36f93446	579
NV12	KU705459	petB	Uncultured Synechococcus sp. clone NV12 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	c70999dd27613ae219607767c1f1eb2a	579
Ellet35	KU705458	petB	Uncultured Synechococcus sp. clone Ellet35 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	c44664facb77af5e20506d66f073199d	559
Ellet34	KU705457	petB	Uncultured Synechococcus sp. clone Ellet34 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	8fcb077f010413eb8034e4547b1dfe55	579
Ellet33	KU705456	petB	Uncultured Synechococcus sp. clone Ellet33 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	4e2107facc5f8c87c7e14d423d10fca3	579
Ellet31	KU705455	petB	Uncultured Synechococcus sp. clone Ellet31 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	15ef789177e8d135b62d016179507df9	559
Ellet29	KU705454	petB	Uncultured Synechococcus sp. clone Ellet29 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVC	MIC	1081714ac7c860a8e627bca77b605b08	579
Ellet26	KU705453	petB	Uncultured Synechococcus sp. clone Ellet26 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVC	MIC	c55066e3dd70209d9ff669efd00d19cb	579
Ellet25	KU705452	petB	Uncultured Synechococcus sp. clone Ellet25 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVC	MIC	cb28b79c6258ed4ed955d725f42f09b1	559
Ellet24	KU705451	petB	Uncultured Synechococcus sp. clone Ellet24 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVC	MIC	6ff868e4cee7961d9bee088f6abaa7b4	559
Ellet20	KU705450	petB	Uncultured Synechococcus sp. clone Ellet20 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	f80c56e5e8cbbf47de5d536f52a3998c	559
Ellet19	KU705449	petB	Uncultured Synechococcus sp. clone Ellet19 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVC	MIC	a1aecee0f71604aa0b0a2eedcf93c141	579
Ellet18	KU705448	petB	Uncultured Synechococcus sp. clone Ellet18 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVC	MIC	6c0a32485bad42db5b16a62d6a8ac307	579
BATS23	KU705447	petB	Uncultured Synechococcus sp. clone BATS23 cytochrome b6 (petB) gene, partial cds	petB_Syn_EnvA|EnvAA	MIC	65b6c16aeaaa3fb127163008e358552b	559
BATS21	KU705446	petB	Uncultured Synechococcus sp. clone BATS21 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIB	MIC	c9c1c96d7838a458212b8edcdf47358a	559
BATS20	KU705445	petB	Uncultured Synechococcus sp. clone BATS20 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIB	MIC	4eaf0d93106c11633e4c03543826c437	559
BATS19	KU705444	petB	Uncultured Synechococcus sp. clone BATS19 cytochrome b6 (petB) gene, partial cds	petB_Syn_WPC1|WPC1A	MIC	abbcfd7a07c5771e2264fce4516b60b0	559
BATS18	KU705443	petB	Uncultured Synechococcus sp. clone BATS18 cytochrome b6 (petB) gene, partial cds	petB_Syn_XX|XXA	MIC	d18ef7d528dc66077d250cba2c35c0ab	559
BATS17	KU705442	petB	Uncultured Synechococcus sp. clone BATS17 cytochrome b6 (petB) gene, partial cds	petB_Syn_XX|XXA	MIC	760eb9111bc9606cfddac5c8fe8a29e2	559
BATS16	KU705441	petB	Uncultured Synechococcus sp. clone BATS16 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIB	MIC	59bdecb51ef66f2d4a3495d40fff9793	579
AMT12-A14	KU705440	petB	Uncultured Synechococcus sp. clone AMT12-A14 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	39766a891f5b62d5a5ab584fb11a00fb	579
S68	KU705439	petB	Synechococcus sp. S68 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIB	MIC	207ebeb5071d5bb8cf20ba4f433cc893	579
S60	KU705438	petB	Synechococcus sp. S60 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	c9da710d0bff2f2c85a4edd2f169a01f	579
S59	KU705437	petB	Synechococcus sp. S59 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	231f409963002d4c2be3796cec2a6cd1	579
S50	KU705436	petB	Synechococcus sp. S50 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	61b5c3ce6a7303133a1a2ee043850918	579
R11	KU705435	petB	Synechococcus sp. R11 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	be9f8c2d72f300f1ed732b847fae871c	579
R5A	KU705434	petB	Synechococcus sp. R5A cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	de4d75f5b94dcf1d59db9cc783f450fb	579
R4	KU705433	petB	Synechococcus sp. R4 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	f459f3fd4f69044d8ab786e556310996	579
R3B	KU705432	petB	Synechococcus sp. R3B cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	08c0b2f76478a1f46b985bcfb8f15fd1	579
R3A	KU705431	petB	Synechococcus sp. R3A cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	97cd8f98b88440964d2c55ccb32a9262	579
M1	KU705430	petB	Synechococcus sp. M1(2016) cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	2845a89db96afd16a10f69d5d37045d5	579
AMT2013-P209-F4	KU705429	petB	Synechococcus sp. AMT2013-P209-F4 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIB	MIC	7b2c430e82efb5d3084dc6257e69a796	570
AMT2013-P209-F2	KU705428	petB	Synechococcus sp. AMT2013-P209-F2 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIB	MIC	153c8b679323c4739b8335f132908b2a	576
AMT23ST53-2	KU705427	petB	Synechococcus sp. AMT23ST53-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	2242b3965ae41db072754d137e03d028	569
AMT23ST52-1	KU705426	petB	Synechococcus sp. AMT23ST52-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	29ff72c1e6c9e233c6f2d5a67c54395f	582
AMT23ST49-1	KU705425	petB	Synechococcus sp. AMT23ST49-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	6fe26fb3b3254310d7f6dbb6caebf25e	588
AMT23ST46-1	KU705424	petB	Synechococcus sp. AMT23ST46-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	a305f9f2a2957c03c4be04286bbc70c3	602
AMT23ST41-3	KU705423	petB	Synechococcus sp. AMT23ST41-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	164d4d60a4f187b1da0d97a7e0ff794d	588
AMT23ST41-2	KU705422	petB	Synechococcus sp. AMT23ST41-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIB	MIC	5bd6636d35c53a920475ecd3c3860ff8	577
AMT23ST41-1	KU705421	petB	Synechococcus sp. AMT23ST41-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	9036b7b3eb6827d77179bd31a6311f75	585
AMT23ST31-5	KU705420	petB	Synechococcus sp. AMT23ST31-5 cytochrome b6 (petB) gene, partial cds	petB_Syn_WPC1|WPC1A	MIC	91ae405cc3885ca2e81d9df3cae7a9bd	591
AMT23ST31-3	KU705419	petB	Synechococcus sp. AMT23ST31-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_WPC1|WPC1A	MIC	9a172e8946ba8bf539f71a43232c3276	570
AMT23ST31-2	KU705418	petB	Synechococcus sp. AMT23ST31-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_WPC1|WPC1A	MIC	f70528d28f49cd5c05a7a883b9b9a2f7	576
AMT23ST27-2	KU705417	petB	Synechococcus sp. AMT23ST27-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_CRD1|CRD1C	MIC	4b304aaf1ad5a67d86975c88bb0fbdb7	581
AMT23ST27-1	KU705416	petB	Synechococcus sp. AMT23ST27-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	33bbff1f94398a4329593510b2609c7a	583
AMT23ST25-1	KU705415	petB	Synechococcus sp. AMT23ST25-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	ede2a31d9f0d8b82d8695d4622e721e7	600
AMT23ST15-1	KU705414	petB	Synechococcus sp. AMT23ST15-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	dd9a644d4300a663f31467ebdbfef9c4	597
AMT23ST14-1	KU705413	petB	Synechococcus sp. AMT23ST14-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIB	MIC	d1409da047c85595e23f4bf37b513955	597
AMT23ST11-2	KU705412	petB	Synechococcus sp. AMT23ST11-2 cytochrome b6 (petB) gene, partial cds	petB_Syn_VII|VIIA	MIC	708f1aa9b2bdb829068da57bf372b0f8	585
